Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Захаренко,Олександр,Станіславович,Чоловіча,23-09-1964,Електротехнік,село Українка ,"провулок Вірського, буд. 701 кв. 1, Селидове, 58322",+380 85 713 48 66,havriushenkomykyta@example.net
Романець,Захар,Віталійович,Чоловіча,22-03-1985,Різноробочий,село Іршава,"набережна Нафтовиків, буд. 3, Географія Вільнянська, 50640",479 96 55,viktor74@example.net
Єсипенко,Прохір,Сергійович,Чоловіча,20-05-1986,Гірничий інженер,місто Славута,"площа Наклонна, буд. 15 кв. 053, Яготин, 34390",081 825-41-20,labaiaroslava@example.net
Гречаник,Михайло,Яремович,Чоловіча,15-09-1945,Дерун,місто Скалат,"узвіз Разумовська, буд. 192, Новоселиця, 12343",+380 00 733-87-30,qbabiuk@example.com
Бездітко,Венедикт,Данилович,Чоловіча,28-10-1991,Архітектор,селище Почаїв,"шосе Тещин міст, буд. 87 кв. 35, Дебальцеве, 36179",242-12-66,durdynetsvalentyn@example.org
Даниленко,Михайло,Максимович,Чоловіча,22-10-2005,Кухар,селище Мена ,"вулиця Шампанський, буд. 18, Подільськ, 67339",999 22 25,bezborodkozakhar@example.net
Петренко,Миколай,Єлисейович,Чоловіча,31-07-1991,Біолог,хутір Ясинувата,"сквер Каретний, буд. 9, Вознесенівка, 22210",+380 19 135-29-00,zaietsvarfolomii@example.com
Ґереґа,Єфрем,Прохорович,Чоловіча,30-03-1999,Круп'є,селище Зоринськ,"набережна Колекційна, буд. 679, Ватутіне, 11769",+380 (67) 026-05-65,heorhii35@example.net
Литвиненко,Адам,Єлисейович,Чоловіча,29-10-1975,Архітектор,село Іршава,"вулиця Монастирський, буд. 729, Сокиряни, 46320",072 11 12,davyd95@example.com
Полтавець,Юхим,Бориславович,Чоловіча,16-02-1988,Мірошник,місто Кривий Ріг,"узвіз Чапаєва, буд. 1 кв. 1, Лиман , 79489",014 470 83 57,marta56@example.org
Павлик,Охрім,Устимович,Чоловіча,19-10-1960,Парфюмер,хутір Малин,"площа Станційна 2-га, буд. 319, Добропілля, 29855",743-05-12,shvachkaleonid@example.com
Атаманчук,Венедикт,Костянтинович,Чоловіча,29-12-1975,Промисловець,хутір Ялта,"провулок Мала Садова, буд. 119, Джанкой, 13461",+380 86 472-07-51,orysia54@example.org
Медведенко,Валерій,Ігорович,Чоловіча,26-07-1983,Кухар,селище Мена ,"провулок Весняна, буд. 987 кв. 335, Ананьїв, 09599",+380 60 662-59-39,uartymyshyna@example.net
Бабʼюк,Григорій,Антонович,Чоловіча,06-06-1965,Зоолог,місто Білицьке,"набережна Миколи Бажана, буд. 4 кв. 6, Севастополь, 17786",+380 29 191-94-28,petrykorysia@example.com
Абрагамовська,Данило,Прохорович,Чоловіча,13-11-1965,Етнограф,місто Добромиль,"сквер Лазурний 5-й, буд. 2 кв. 63, Кілія, 07642",014 785 77 60,lsirchenko@example.net
Хомик,Леонід,Давидович,Чоловіча,21-04-1953,Клавішник,місто Дрогобич,"набережна Миколаївська дорога, буд. 3, Червоноград, 37658",084 461-35-41,bohodarlutsenko@example.org
Москаль,Гордій,Йосипович,Чоловіча,01-09-1957,Ді-джей,хутір Біла Церква,"парк 7-ма Суворовська, буд. 6, Корсунь-Шевченківський, 86504",062 323-77-17,viktor06@example.com
Семенченко,Вадим,Венедиктович,Чоловіча,14-12-1952,Бухгалтер,місто Ровеньки,"парк Лютеранський, буд. 4 кв. 673, Чортків, 96450",+380 58 218-43-10,zharkoihor@example.com
Непорожній,Гліб,Ігнатович,Чоловіча,19-02-1946,Програміст,село Глобине,"сквер Мазепи Івана, буд. 0 кв. 65, Новодністровськ, 30530",+380 54 257-12-46,venedykt43@example.org
Деряжна,Веніямин,Богодарович,Чоловіча,04-07-1984,Режисер,селище Лозова ,"вулиця Рульовий, буд. 6, Голубівка, 92099",018 943 91 28,pylyptychyna@example.net
Власенко,Богодар,Пантелеймонович,Чоловіча,17-10-2002,Фармацевт,селище Хмельницький,"провулок Партизанська, буд. 86, Моршин, 60841",+380 72 595 85 70,nataliia28@example.com
Артимишин,Богдан,Мартинович,Чоловіча,20-07-1992,Композитор,хутір Теребовля,"проспект Морехідний, буд. 560, Бахмач, 65112",307 49 13,pzasenko@example.org
Свистун,Олекса,Вікторович,Чоловіча,23-05-1948,Кінорежисер,селище П'ятихатки,"площа Городня, буд. 94 кв. 004, Шостка, 16469",924 35 36,maryna93@example.org
Єрмоленко,Зиновій,Мартинович,Чоловіча,06-08-1971,Нотаріус,хутір Липовець,"шосе Короленка, буд. 675, Каховка, 57895",+380 66 743 79 32,pirvanets@example.com
Андрієвич,Артем,Бориславович,Чоловіча,23-08-2001,Модельєр,місто Селидове,"набережна Моторний 1-й, буд. 90, Богуслав, 01014",689-16-68,lahodabohdanna@example.net
Свириденко,Єфрем,Аврелійович,Чоловіча,25-10-1943,Кур'єр,село Кам'янське,"парк Чехова, буд. 89, Канів, 43699",+380 68 700-83-47,snizhana01@example.net
Їжакевич,Хома,Костянтинович,Чоловіча,18-01-1941,Вчитель,місто Кременець,"набережна Олександра Невського 1-й, буд. 9, Белз, 58417",015 511 58 57,nataliia99@example.net
Ребрик,Веніямин,Данилович,Чоловіча,01-01-1977,Програміст,місто Турка,"шосе Далекосхідна, буд. 9, Сулимівка (Слов'янськ), 52148",084 152 82 01,pkabanenko@example.net
Фартушняк,Григорій,Назарович,Чоловіча,05-01-1998,Географ,місто Южноукраїнськ,"площа Львівський, буд. 69 кв. 197, Полтава, 16921",031-13-33,roman98@example.com
Аврамчук,Роман,Ярославович,Чоловіча,01-01-1959,Бізнесмен,село Городок,"набережна Сергія Ядова, буд. 88, Тернопіль, 61323",735-50-45,hrechkonazar@example.net
Щириця,Теодор,Ігнатович,Чоловіча,09-06-1991,Фотограф,місто Нововолинськ,"площа Плієва, буд. 4 кв. 20, Іловайськ, 51031",063 246 79 44,vriabchenko@example.net
Базилевська,Давид,Володимирович,Чоловіча,07-02-1952,Кінорежисер,село Рудки,"провулок Кільцева, буд. 3, Хирів, 02153",+380 46 137 99 87,qmykytiuk@example.com
Зінкевич,Лесь,Йосипович,Чоловіча,09-12-1995,Гірничий інженер,селище Моршин,"шосе Костанді 3-й, буд. 29 кв. 620, Федорівка, 08270",144 70 26,mariiapustovit@example.org
Малишко,Алевтин,Яремович,Чоловіча,21-06-1960,Агроном,місто Помічна,"узвіз Трудова, буд. 878 кв. 546, Севастополь, 24588",+380 92 422-66-40,tieroshenko@example.org
Пушкар,Макар,Степанович,Чоловіча,27-09-1941,Ветеринар,хутір Васильків,"парк Промислова, буд. 2 кв. 04, Буча, 19169",111 14 44,avreliihuk@example.net
Байда,Борис,Тарасович,Чоловіча,06-01-1981,Шериф,селище Нововолинськ,"провулок Мечникова, буд. 1 кв. 3, Антрацит , 33506",092-91-04,maryna07@example.com
Масоха,Кирило,Георгійович,Чоловіча,18-08-1959,Інженер,селище Березне,"набережна Манежна, буд. 278, Карлівка, 70760",+380 41 507-77-85,stanislav16@example.org
Андрієвич,Василь,Прохорович,Чоловіча,03-07-1958,Петрограф,хутір Бердянськ,"шосе Чернишевського, буд. 8 кв. 322, Глухів, 44535",+380 24 430 25 36,leon75@example.org
Лаба,Лесь,Дмитрович,Чоловіча,30-10-1950,Няня,селище Калуш,"узвіз Картамишевський, буд. 93 кв. 03, Канів, 32965",027 844-74-64,pylypenkomykyta@example.net
Сіробаба,Єлисей,Ігнатович,Чоловіча,17-08-1980,Електрик,село Узин,"шосе Госпітальний, буд. 2 кв. 8, Вінниця, 82810",548-95-98,zhuchenkoiefrem@example.com
Захаренко,Спас,Ростиславович,Чоловіча,22-01-1979,Дипломат,місто Новгород-Сіверський,"шосе Дніпровська, буд. 634, Новогродівка, 89680",+380 (93) 995-03-26,liudmylaruban@example.org
Левченко,Давид,Вадимович,Чоловіча,23-02-1965,Круп'є,місто Мостиська,"шосе Соляний 3-й, буд. 2 кв. 8, Ковель, 25168",477 44 36,zhaida@example.com
Юхименко,Геннадій,Євгенійович,Чоловіча,24-01-1959,Астрофізик,місто Дебальцеве,"шосе 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 766 кв. 941, Привілля, 18988",607-60-61,iukhym48@example.net
Симоненко,Пармен,Богуславович,Чоловіча,30-10-1950,Бізнесмен,місто Авдіївка,"парк Амурський 4-й, буд. 736, Сміла, 36284",029 530 12 58,iaremamalyshko@example.net
Товстоліс,Аарон,Леонтійович,Чоловіча,15-09-1994,Дизайнер,місто Долинська,"парк Нечипуренка, буд. 72, Селидове, 27107",+380 50 913-44-36,dvakhnii@example.net
Дейнека,Хома,Прохорович,Чоловіча,21-09-1940,Ді-джей,селище Хрустальний,"шосе Стовпова, буд. 2 кв. 81, Мала Виска, 26972",057 917-10-22,wriabovil@example.com
Наливайко,Єлисей,Леонтійович,Чоловіча,08-12-2003,Намотувальник,хутір Коломия,"шосе 1-ша Суворовська, буд. 4 кв. 41, Прип'ять , 04940",378-30-25,leopold96@example.net
Сіробаба,Федір,Олесьович,Чоловіча,23-06-1940,Медик,селище Дрогобич,"проспект Ветеранів праці, буд. 65 кв. 4, Іршава, 67506",+380 73 012-66-62,ybabak@example.org
Дергач,Дан,Тарасович,Чоловіча,01-04-1959,Ювелір,село Жмеринка,"парк Достоєвського, буд. 436 кв. 114, Борщів, 90761",+380 55 764-46-71,lzaichenko@example.net
Зінкевич,Дан,Єфремович,Чоловіча,03-12-1989,Ді-джей,село Полтава,"узвіз Балтський 5-й, буд. 8, Южноукраїнськ, 60322",369-71-99,venedyktdemianenko@example.org
Ніколюк,Віктор,Валерійович,Чоловіча,21-09-1989,Стиліст,село Бориспіль,"узвіз Проектний 5-й, буд. 753 кв. 842, Волочиськ, 35028",+380 18 181-25-25,qtverdokhlib@example.com
Черінько,Ілля,Олександрович,Чоловіча,29-10-1985,Будник,хутір Бориспіль,"набережна Скляна, буд. 4, Федорівка, 84459",023 93 84,kolisnychenkoedyta@example.net
Саченко,Хома,Єлисейович,Чоловіча,12-11-1941,Дипломат,хутір Помічна,"проспект Естафетна, буд. 90 кв. 97, Радехів, 78140",059 211-55-38,ivan21@example.org
Яременко,Станіслав,Владиславович,Чоловіча,21-02-2000,Письменник,місто Кропивницький,"провулок Павла Кравцова, буд. 767 кв. 694, Підгородне, 01782",816-32-84,eskyba@example.net
Авдєєнко,Аарон,Юстимович,Чоловіча,26-07-1958,Клавішник,хутір Кагарлик,"набережна Аеропортівський 2-й, буд. 1 кв. 2, Макіївка, 26283",+380 66 543 41 06,alina15@example.net
Гриценко,Гордій,Микитович,Чоловіча,07-03-1985,Модель,місто Ворожба,"шосе Березовий, буд. 81, Новий Буг, 73286",+380 19 993 04 61,varvarazubko@example.com
Ванченко,Віталій,Мартинович,Чоловіча,19-11-1997,Фотограф,хутір Горішні Плавні,"шосе Поштовий, буд. 128 кв. 1, Тячів, 78503",+380 45 638 02 66,symonivanchenko@example.org
Андрощук,Ілля,Йосипович,Чоловіча,08-08-1956,Електромонтер,місто Курахове,"проспект Чорноморський 13-й, буд. 70, Бучач, 09183",+380 02 300 71 62,chalabohodar@example.com
Алексеєнко,Геннадій,Васильович,Чоловіча,11-04-1949,Промисловець,місто Костопіль,"сквер Ромашкова, буд. 52 кв. 24, Карлівка, 40370",+380 14 238-17-06,pylypvermenych@example.net
Комар,Омелян,Панасович,Чоловіча,11-01-1994,Фізик,селище Сміла,"вулиця Український 2-й, буд. 261 кв. 03, Новодружеськ, 30365",+380 09 023-55-41,romanetsmykolai@example.net
Голобородько,Устим,Климентович,Чоловіча,06-09-1943,Єгер,хутір Ананьїв,"шосе Чорноморський 1-й, буд. 5 кв. 455, Чернігів, 80324",123-84-22,sviatoslava46@example.org
Саєнко,Вадим,Тимофійович,Чоловіча,24-07-1954,Дизайнер,місто Зимогір'я,"проспект Грецька, буд. 2 кв. 5, Барвінкове, 46122",985 85 86,ielyseivasylechko@example.net
Шовкопляс,Панас,Пилипович,Чоловіча,15-05-1974,Публіцист,місто Тернівка ,"набережна Педагогічний, буд. 9 кв. 7, Самбір, 89146",015 227 48 61,marusia26@example.org
Матяш,Лукʼян,Васильович,Чоловіча,06-02-1942,Штукатур,селище Бобринець,"провулок Слов'янська, буд. 55, Ізюм, 49753",+380 33 013-37-43,kivashchenko@example.net
Перебийніс,Трохим,Русланович,Чоловіча,26-08-1946,Круп'є,хутір Василівка ,"набережна Адміральський, буд. 877 кв. 806, Долинська, 95249",045 201-91-05,petrenkobohuslava@example.com
Атрощенко,Леонтій,Сергійович,Чоловіча,20-04-1951,Літературознавець,хутір Шаргород,"провулок Нахімова, буд. 33 кв. 111, Хуст, 78991",+380 02 408-31-73,ivanchenkoiaroslav@example.org
Вовк,Аарон,Теодорович,Чоловіча,23-09-1975,Шериф,село Нове Давидково,"сквер Степна, буд. 55 кв. 0, Зоринськ, 20509",+380 07 132 71 53,chuikooleh@example.org
Дацюк,Онисим,Юстимович,Чоловіча,17-10-1977,Реставратор,хутір Гола Пристань,"вулиця Літній, буд. 911, Заліщики, 22199",+380 68 304 24 23,adamhupalo@example.net
Тарасенко,Борис,Тарасович,Чоловіча,25-06-1969,Намотувальник,село Львів,"площа Асташкіна, буд. 07 кв. 25, Новодружеськ, 37921",964-87-51,gvashchuk@example.com
Вишняк,Єлисей,Ааронович,Чоловіча,31-07-1953,Громадський діяч,хутір Павлоград,"площа Студентський 3-й, буд. 93, Гуляйполе, 95831",032 960 59 42,mykhailiukbohdan@example.org
Ємець,Стефан,Захарович,Чоловіча,30-08-1949,Модельєр,хутір Апостолове,"провулок Вишнева, буд. 065 кв. 55, Вашківці, 54174",+380 64 096 01 21,fbabii@example.org
Палій,Арсен,Несторович,Чоловіча,23-02-1947,Мінералог,хутір Ірпінь,"проспект Деревообробна, буд. 0 кв. 3, Мена , 11403",+380 19 703 17 85,iaremenkoviktor@example.net
Засенко,Алевтин,Аркадійович,Чоловіча,25-04-2000,Петрограф,хутір Мала Виска,"провулок Корнюшина, буд. 3, Хуст, 68710",868 48 24,dbatih@example.com
Заєць,Яків,Панасович,Чоловіча,20-01-2008,Епідеміолог,місто Вишневе ,"узвіз Бугаївська, буд. 373, Сєвєродонецьк, 59409",+380 03 917-54-84,babychnestor@example.org
Юрченко,Феофан,Володимирович,Чоловіча,25-05-1943,Епідеміолог,село Василівка ,"узвіз Тепличний 1-й, буд. 5 кв. 4, Новоселиця, 45249",834 67 31,oryna07@example.org
Забара,Демʼян,Святославович,Чоловіча,21-05-1958,Візажист,хутір Севастополь,"сквер Суднобудівна, буд. 96, Болехів, 80063",+380 85 910-48-92,iustymhaidenko@example.org
Міщенко,Андрій,Богданович,Чоловіча,28-03-1978,Зоолог,селище Кривий Ріг,"вулиця Косий, буд. 83 кв. 837, Антрацит , 47838",+380 63 058 15 45,babkooryna@example.com
Верхола,Віктор,Пантелеймонович,Чоловіча,22-03-1968,Музикант,село Березне,"провулок Магнітогорська, буд. 36, Мукачево, 93781",789-75-52,tetiana73@example.net
Конопленко,Опанас,Богодарович,Чоловіча,01-01-1998,Мірошник,село Волноваха,"вулиця Матроська Слобідка, буд. 95, Рівне, 08879",097 176 50 40,barannykroman@example.com
Чарниш,Симон,Пилипович,Чоловіча,07-05-1945,Графік,хутір Великі Мости,"проспект Колективний, буд. 19 кв. 614, Свалява, 94307",+380 26 989-22-46,milena59@example.org
Чубай,Ярослав,Лукʼянович,Чоловіча,02-08-1957,Золотар,хутір Новогродівка,"провулок Аграрна, буд. 597 кв. 5, Лисичанськ, 65158",909 96 98,hordii96@example.com
Малишко,Олександр,Богуславович,Чоловіча,26-07-1994,Мінералог,хутір Новогродівка,"провулок Красива, буд. 5 кв. 4, Рогатин, 92686",+380 72 360 31 46,nivashchenko@example.org
Дейнеко,Макар,Антонович,Чоловіча,01-03-1947,Графік,місто Остер ,"вулиця 9-та Суворовська, буд. 488 кв. 0, Золоте, 10983",094 635-67-96,datsiukazar@example.com
Бабко,Вʼячеслав,Володимирович,Чоловіча,30-11-1976,Мовознавець,хутір Сорокине,"площа Університетський, буд. 806 кв. 71, Рава-Руська, 75498",069 029 73 05,anastasiia89@example.com
Жученко,Данило,Вікторович,Чоловіча,17-09-1995,Художник,селище Мар'їнка,"узвіз Соляний 1-й, буд. 350 кв. 8, Сорокине, 96316",835-78-15,marusia29@example.com
Тригуб,Франц,Мартинович,Чоловіча,24-07-1947,Психолог,хутір Корюківка,"парк Кредитний, буд. 60 кв. 366, Зоринськ, 39803",020 653 55 23,hennadiiavdieienko@example.net
Ісаєвич,Руслан,Вʼячеславович,Чоловіча,01-11-1964,Штукатур,село Привілля,"парк Олександра Тимошенка, буд. 451, П'ятихатки, 15299",+380 27 449 41 94,wtykha@example.net
Стець,Пантелеймон,Борисович,Чоловіча,20-02-1984,Перекладач,селище Нетішин,"проспект Середньофонтанський, буд. 0, Алупка, 87059",+380 (73) 711-17-29,petrotychyna@example.org
Мамчур,Олександр,Симонович,Чоловіча,16-09-1999,Каскадер,місто Бахчисарай,"шосе Вернидуба, буд. 4, Перемишляни, 04165",465 38 63,albertbabii@example.net
Кабалюк,Борислав,Стефанович,Чоловіча,09-03-1983,Фермер,хутір Хоростків,"вулиця Софії Перовської, буд. 483, Алупка, 03269",929-13-54,elytvynenko@example.org
Вітер,Федір,Гаврилович,Чоловіча,09-12-2002,Ботанік,село Дергачі,"вулиця Лінія 32-га, буд. 847, Енергодар, 21503",+380 40 015 32 88,marko67@example.net
Литвин,Мирослав,Опанасович,Чоловіча,21-04-1949,Бібліограф,село Світловодськ,"провулок Миколи Бажана, буд. 94 кв. 640, Гола Пристань, 09343",+380 (47) 857-85-96,sprymachenko@example.net
Теліженко,Данило,Георгійович,Чоловіча,21-04-2007,Письменник,хутір Волочиськ,"сквер Глазунова 1-й, буд. 25 кв. 090, Пирятин, 19213",095 05 13,ivanchenkohlib@example.com
Андрусенко,Артем,Болеславович,Чоловіча,05-01-1960,Сантехнік,місто Узин,"узвіз Добровольського, буд. 94 кв. 225, Зугрес, 09556",025 459 66 70,panasudovenko@example.com
Давиденко,Олесь,Лукʼянович,Чоловіча,24-09-1990,Пекар,селище Чугуїв,"шосе Балтський 7-й, буд. 8 кв. 7, Шахтарськ, 85466",013 094 47 84,uiarosh@example.net
Дурдинець,Амвросій,Венедиктович,Чоловіча,06-06-1970,Графік,село Вижниця,"проспект В’ячеслава Чорновола, буд. 94, Красногорівка, 50818",+380 12 073-62-60,babramenko@example.net
Парасюк,Мирослав,Гаврилович,Чоловіча,10-02-1949,Менеджер,селище Перемишляни,"проспект Кісельова Ігоря, буд. 9 кв. 8, Молочанськ, 01596",+380 91 285-99-70,sementeslenko@example.com
Свистун,Святослав,Дмитрович,Чоловіча,15-08-1988,Кінокритик,місто Південне ,"площа Юрія Олеші, буд. 595, Кропивницький, 72380",581-77-90,omelianokhrimenko@example.net
Тригуб,Левко,Богуславович,Чоловіча,29-09-1997,Програміст,село Любомль,"проспект Український 2-й, буд. 9 кв. 646, Волочиськ, 07872",+380 55 734-71-82,ohodunok@example.net
Пушкар,Юстим,Симонович,Чоловіча,18-04-1998,Історик,хутір Шпола,"вулиця Овідіопольська дуга, буд. 1 кв. 36, Шепетівка, 28144",+380 32 473 93 36,vernyhoranestor@example.net
Бабʼюк,Борис,Арсенович,Чоловіча,28-11-1997,Сантехнік,селище Кременчук,"набережна Вчительська, буд. 099 кв. 681, Олександрія, 65170",+380 42 579-90-44,semen32@example.org
Носенко,Симон,Олегович,Чоловіча,27-05-1981,Історик,місто Петрово-Красносілля,"проспект Парашутний, буд. 6, Південне , 06487",845-16-78,fchervonenko@example.org
Конопля,Орхип,Богданович,Чоловіча,28-11-1969,Агроном,село Бунге ,"узвіз Композитора Глинки, буд. 85, Вугледар, 46098",+380 60 640-01-06,tsymbaliuktetiana@example.net
Петрик,Герман,Петрович,Чоловіча,07-02-1942,Епідеміолог,хутір Олександрівськ,"узвіз Злакова, буд. 57 кв. 4, Сторожинець, 48641",+380 90 577 50 34,androshchukhavrylo@example.net
Якимчук,Ілля,Костянтинович,Чоловіча,10-11-1979,Мовознавець,місто Болехів,"сквер Івана Вазова, буд. 510, Кремінна, 77371",+380 98 842-27-74,vdatsiuk@example.com
Непорожній,Ростислав,Теодорович,Чоловіча,23-11-1954,Композитор,хутір Лозова ,"провулок Китобійна, буд. 73 кв. 306, Богодухів, 80935",039 045 66 36,ielyseidurdynets@example.com
Абраменко,Богуслав,Зиновійович,Чоловіча,08-04-1947,Інженер,селище Пологи ,"шосе Асташкіна, буд. 888 кв. 2, Рожище, 25648",+380 31 654-84-68,vperepelytsia@example.net
Тиха,Ігор,Климентович,Чоловіча,09-11-1988,Акушер,село Алушта,"проспект Соляний 5-й, буд. 059 кв. 600, Монастирище, 76247",093 24 41,lshevchenko@example.org
Колодуб,Гліб,Несторович,Чоловіча,26-01-1964,Продюсер,хутір Самбір,"шосе Тимірязєва, буд. 90, Бердянськ, 93475",+380 20 727-66-22,mderiazhnyi@example.net
Архипенко,Орхип,Борисович,Чоловіча,27-01-1941,Географ,село Костопіль,"сквер Кавказька, буд. 82 кв. 812, Ківерці, 71582",038 594-18-52,zbakumenko@example.org
Гуцуляк,Спас,Юхимович,Чоловіча,09-03-1940,Парфюмер,село Любомль,"шосе Кондрашина, буд. 97, Дружківка, 28387",182 64 58,lizaandreiko@example.org
Панчук,Тарас,Богданович,Чоловіча,07-03-1966,Мірошник,селище Світлодарськ,"провулок Ванцетті, буд. 96, Овруч, 60302",+380 69 861-37-39,sirkosviatoslav@example.com
Носенко,Опанас,Демʼянович,Чоловіча,24-02-1981,Штукатур,селище Новомиргород,"парк 9-та Суворовська, буд. 618 кв. 8, Тернівка , 63021",+380 15 758-19-96,viarosh@example.org
Габелко,Руслан,Степанович,Чоловіча,15-04-1984,Електромонтер,село Довжанськ,"узвіз Залізничний 3-й, буд. 8 кв. 20, Гайворон, 10027",+380 (77) 444-33-42,korpaniukeduard@example.org
Івасюк,Климент,Охрімович,Чоловіча,10-10-1998,Єгер,місто Дунаївці,"проспект Маловського, буд. 65 кв. 82, Чернігів, 55574",+380 53 210-28-45,orest76@example.com
Ґжицька,Аврелій,Вʼячеславович,Чоловіча,28-08-1991,Машиніст,хутір Ходорів,"сквер Учнівська, буд. 82, Вижниця, 49256",321 65 63,ihnat00@example.org
Рубан,Антон,Зиновійович,Чоловіча,15-02-1974,Стропальник,хутір Яремче,"вулиця Іванова Ігоря, буд. 83, Лебедин, 56947",+380 83 265-01-98,shukhevychleontii@example.net
Пʼятаченко,Лесь,Іванович,Чоловіча,26-10-1970,Машиніст,хутір Донецьк,"набережна Верхня, буд. 1, Чортків, 87179",+380 96 085-04-64,oleksandreibozhenko@example.net
Якименко,Трохим,Єфремович,Чоловіча,09-02-2004,Журналіст,хутір Ямпіль,"провулок Косовська, буд. 14, Сміла, 55208",098-12-81,paliiroksolana@example.net
Забарна,Семен,Лукʼянович,Чоловіча,17-05-2004,Будник,місто Костянтинівка,"парк Восьмого березня 8-й, буд. 8, Інкерман, 63333",053 758 61 80,arsenandriishyna@example.net
Гресь,Нестор,Адамович,Чоловіча,04-05-1941,Музикант,місто Новоазовськ,"сквер Асташкіна, буд. 3, Болехів, 76605",067 775 87 33,makargalagan@example.org
Чумак,Кирило,Вʼячеславович,Чоловіча,08-03-1999,Клавішник,селище Марганець ,"вулиця Курортний, буд. 5, Бібрка, 52373",555 80 88,larysachumak@example.net
Михайлюк,Арсен,Юстимович,Чоловіча,30-10-1958,Кухар,селище Чортків,"площа Мазепи Івана, буд. 834, Інкерман, 22029",+380 (01) 805-82-79,verkhovynetsbohdan@example.org
Височан,Руслан,Леопольдович,Чоловіча,16-12-2004,Намотувальник,селище Узин,"вулиця Ванний, буд. 180 кв. 53, Борзна, 88381",723 91 62,venedyktlukash@example.com
Євтушенко,Леопольд,Єлисейович,Чоловіча,05-11-1975,Громадський діяч,селище Молодогвардійськ,"узвіз Парашутний, буд. 3, Острог, 35989",548 72 09,andriishynazlatoslava@example.com
Атрощенко,Арсен,Ігорович,Чоловіча,03-11-2005,Кіноактор,село Амвросіївка,"провулок Грецька, буд. 197, Ірпінь, 98733",099 378 99 28,ivanhohol-ianovskyi@example.net
Дзиндра,Мирон,Юстимович,Чоловіча,07-06-1948,Намотувальник,селище Сколе,"сквер Деревообробний 4-й, буд. 670 кв. 57, Бахчисарай, 65589",069 269 87 16,vitrukmaksym@example.org
Луценко,Омелян,Борисович,Чоловіча,02-04-1977,Архітектор,селище Кадіївка,"проспект Леваневського, буд. 13 кв. 1, Курахове, 80769",+380 90 267 74 34,hrechkomykyta@example.com
Примаченко,Роман,Азарович,Чоловіча,11-03-1983,Швачка,хутір Чуднів,"вулиця Шостої 1-й, буд. 7 кв. 51, Чорноморськ, 46160",354 29 10,knosenko@example.com
Жадан,Георгій,Варфоломійович,Чоловіча,14-09-1953,Реставратор,село Білицьке,"набережна Аеродромна, буд. 9, Скалат, 84780",+380 05 910 91 87,oarkhymovych@example.com
Сацюк,Веніямин,Леонтійович,Чоловіча,10-09-1954,Мистецтвознавець,хутір Моспине,"парк Чорноморський 5-й, буд. 2, Бровари, 49372",+380 21 633-77-38,svitlanadzhus@example.org
Авраменко,Веніямин,Леопольдович,Чоловіча,17-10-2000,Льотчик,хутір Вараш,"сквер Селищний, буд. 078 кв. 6, Перечин, 73607",+380 (18) 617-31-36,tereshchukvitalii@example.com
Джунь,Климент,Тарасович,Чоловіча,09-03-1980,Антрополог,хутір Ямпіль,"проспект Чехова, буд. 524 кв. 17, Здолбунів, 48378",891 44 04,crebryk@example.com
Євдокименко,Роман,Соломонович,Чоловіча,15-07-1957,Кінокритик,хутір Валки ,"проспект Георгія Гамова, буд. 625, Белз, 55310",+380 72 719 60 60,klavdiia69@example.net
Макаренко,Федір,Зиновійович,Чоловіча,17-05-1991,Геофізик,хутір Бучач,"узвіз Балтський 3-й, буд. 8 кв. 256, Костянтинівка, 44551",+380 86 282-60-49,mazepaliubov@example.org
Парасюк,Григорій,Орхипович,Чоловіча,15-10-1976,Драматург,місто Сквира,"провулок Тополина, буд. 335 кв. 4, Таврійськ, 31471",+380 71 869 74 58,lukianbabarychenko@example.com
Малишко,Кирило,Несторович,Чоловіча,21-09-1956,Євнух,місто Умань,"сквер Штурвальна, буд. 8 кв. 17, Міусинськ, 94735",+380 81 256-04-59,eibozhenkoanton@example.org
Доценко,Пармен,Охрімович,Чоловіча,15-08-1997,Підприємець,місто Чоп,"шосе Сміливий, буд. 302, Знам'янка, 55247",992 84 70,ideisun@example.net
Ільченко,Орхип,Охрімович,Чоловіча,17-05-1967,Парфюмер,хутір Калуш,"провулок Ткачова, буд. 762 кв. 662, Почаїв, 05360",010 399-88-82,leopoldmiroshnychenko@example.com
Цушко,Устим,Омелянович,Чоловіча,08-07-1955,Єгер,селище Вишневе ,"парк Кощового отамана, буд. 168 кв. 81, Ровеньки, 53215",035 770 23 00,hennadii28@example.net
Токар,Богуслав,Вадимович,Чоловіча,15-12-1946,Перекладач,місто Дергачі,"шосе Зоринська, буд. 0 кв. 2, Чернівці, 68078",+380 29 647-05-43,andriiovychheorhii@example.org
Масоха,Болеслав,Семенович,Чоловіча,07-06-1954,Кінорежисер,хутір Мерефа,"сквер Сєченова, буд. 7, Монастирище, 68274",023 359-89-41,zharkosemen@example.org
Червоненко,Богдан,Юхимович,Чоловіча,26-01-1964,Перекладач,село Прилуки,"вулиця Чорноморський 9-й, буд. 62, Южноукраїнськ, 76430",+380 62 454-14-07,vovkiaroslav@example.net
Міщенко,Валентин,Несторович,Чоловіча,20-02-1942,Бізнесмен,місто Зимогір'я,"шосе Бучми, буд. 56, Глухів, 14712",+380 23 350 63 42,uakymenko@example.net
